Location,Male,Female,Total
United States,159690600,165947200,325637800
Alabama,2361800,2523800,4885700
Alaska,360500,345600,706100
Arizona,3710900,3757000,7467800
Arkansas,1449400,1528100,2977500
California,19523100,19605300,39128400
Colorado,2864000,2873100,5737200
Connecticut,1678500,1798200,3476600
Delaware,472400,509600,982000
District of Columbia,344500,372300,716800
Florida,10566300,11093100,21659400
Georgia,5054200,5489800,10544000
Hawaii,682500,691200,1373800
Idaho,914500,916200,1830700
Illinois,6145300,6298700,12444000
Indiana,3266100,3388800,6654900
Iowa,1562100,1566700,3128900
Kansas,1421700,1444700,2866500
Kentucky,2162200,2245700,4407900
Louisiana,2194100,2353700,4547900
Maine,667100,682400,1349500
Maryland,2860000,3092200,5952200
Massachusetts,3320000,3507200,6827200
Michigan,4768900,5009400,9778200
Minnesota,2752200,2803900,5556000
Mississippi,1423500,1511900,2935400
Missouri,2948200,3099400,6047600
Montana,536000,534000,1070000
Nebraska,966700,961200,1927900
Nevada,1579500,1571100,3150500
New Hampshire,685300,681900,1367200
New Jersey,4240200,4484600,8724800
New Mexico,999700,1053500,2053200
New York,9082300,9796300,18878600
North Carolina,5120700,5427900,10548700
North Dakota,383200,367500,750600
Ohio,5726200,5891800,11618000
Oklahoma,1907100,1992500,3899700
Oregon,1989900,2133800,4123800
Pennsylvania,6053000,6420000,12473000
Rhode Island,520400,535000,1055400
South Carolina,2489800,2685100,5174900
South Dakota,441500,437100,878600
Tennessee,3375600,3517700,6893300
Texas,14284800,14793800,29078600
Utah,1614500,1617200,3231600
Vermont,306900,312100,619000
Virginia,4119200,4328000,8447200
Washington,3769400,3826900,7596300
West Virginia,860300,884400,1744800
Wisconsin,2881700,2903100,5784800
Wyoming,282500,282800,565300
